Date,Price,Open,High,Low,Vol.,Change %
2011-11-01,4391.16,4439.62,4439.89,4391.16,31320000.0,-0.013500000000000002
2011-10-31,4451.4,4459.08,4469.08,4446.75,43780000.0,-0.0003
2011-10-30,4452.81,4382.22,4455.59,4382.22,49600000.0,0.026000000000000002
2011-10-27,4339.78,4291.37,4361.04,4291.37,50370000.0,0.0046
2011-10-26,4319.73,4307.81,4333.51,4287.53,45170000.0,-0.0063
2011-10-25,4347.32,4311.68,4358.06,4311.03,29030000.0,0.008199999999999999
2011-10-24,4311.88,4344.09,4345.26,4270.85,38380000.0,0.0027
2011-10-23,4300.08,4267.69,4309.79,4267.69,33800000.0,0.0083
2011-10-20,4264.89,4265.93,4265.93,4253.93,33490000.000000004,0.0002
2011-10-19,4263.99,4217.91,4270.59,4214.48,39370000.0,0.011699999999999999
2011-10-18,4214.72,4243.33,4243.33,4188.63,31840000.0,-0.008100000000000001
2011-10-17,4249.26,4216.33,4263.97,4200.51,43080000.0,0.0083
2011-10-16,4214.22,4169.16,4214.66,4169.04,27090000.0,0.0149
2011-10-13,4152.29,4052.82,4152.29,4052.82,46360000.0,0.0252
2011-10-12,4050.23,4018.05,4076.0,4017.95,29510000.0,0.008100000000000001
2011-10-11,4017.74,3952.81,4017.74,3949.18,37410000.0,0.0202
2011-10-10,3938.02,3881.7,3938.02,3820.3,28800000.0,-0.0225
2011-10-09,4028.71,3952.41,4031.48,3952.41,18970000.0,0.0194
2011-10-05,3951.99,4020.16,4050.33,3951.34,33360000.0,-0.0183
2011-10-04,4025.72,4037.25,4037.25,4016.42,27530000.0,-0.0126
2011-10-03,4076.92,4151.49,4151.49,4076.69,22980000.0,-0.0279
2011-10-02,4193.96,4178.39,4232.53,4178.22,40660000.0,0.0137
2011-09-29,4137.35,4082.42,4137.35,4082.42,41650000.0,0.0104
2011-09-28,4094.64,4229.15,4229.15,4087.8,43100000.0,-0.0358
2011-09-27,4246.68,4319.4,4360.57,4246.68,44360000.0,-0.013300000000000001
2011-09-26,4304.1,4231.95,4304.1,4227.13,35370000.0,0.0167
2011-09-25,4233.22,4339.28,4342.54,4232.36,36910000.0,-0.0235
2011-09-22,4335.16,4398.7,4398.7,4319.25,49900000.0,-0.022099999999999998
2011-09-21,4433.19,4455.87,4455.87,4428.86,35440000.0,-0.0068000000000000005
2011-09-20,4463.74,4478.95,4501.62,4446.19,55420000.0,0.0123
2011-09-19,4409.32,4311.47,4409.97,4311.27,46230000.0,0.019299999999999998
2011-09-18,4325.7,4386.76,4399.77,4325.7,29370000.0,-0.0089
2011-09-15,4364.6,4484.85,4496.02,4364.6,70050000.0,-0.0269
2011-09-14,4485.04,4537.99,4542.78,4485.04,56950000.0,-0.0118
2011-09-13,4538.58,4607.93,4607.95,4536.63,32750000.0,-0.016200000000000003
2011-09-12,4613.51,4687.15,4687.33,4613.51,40250000.0,-0.0175
2011-09-11,4695.67,4701.47,4704.51,4688.5,24660000.0,-0.0124
2011-09-08,4754.56,4729.29,4756.09,4728.79,38310000.0,0.005699999999999999
2011-09-07,4727.4,4729.26,4743.53,4716.12,40130000.0,-0.0002
2011-09-06,4728.55,4698.9,4730.49,4679.87,26810000.0,0.0028000000000000004
2011-09-05,4715.56,4657.22,4715.56,4637.18,40520000.0,0.0116
2011-09-04,4661.42,4653.62,4687.86,4653.62,32340000.000000004,0.004699999999999999
2011-08-29,4639.64,4653.85,4655.84,4637.99,22350000.0,-0.0016
2011-08-28,4647.16,4665.3,4673.46,4646.85,16290000.0,-0.0062
2011-08-25,4676.05,4663.39,4679.33,4660.74,30490000.0,0.0025
2011-08-24,4664.61,4634.31,4666.7,4634.31,35760000.0,0.0070999999999999995
2011-08-23,4631.77,4642.19,4654.26,4631.67,27400000.0,-0.0023
2011-08-22,4642.26,4594.77,4649.68,4594.77,45050000.0,0.0106
2011-08-21,4593.39,4603.27,4605.79,4540.76,24290000.0,-0.032400000000000005
2011-08-18,4747.17,4731.11,4771.54,4731.11,36130000.0,0.0038
2011-08-17,4729.26,4629.15,4729.26,4625.5,38460000.0,0.0227
2011-08-16,4624.46,4643.91,4646.59,4618.39,25160000.0,-0.0044
2011-08-15,4644.85,4625.67,4646.01,4608.59,24900000.0,0.0040999999999999995
2011-08-14,4626.0,4619.26,4677.21,4619.26,24230000.0,0.0073
2011-08-11,4592.31,4620.23,4621.6,4580.49,61280000.0,-0.0149
2011-08-10,4661.66,4650.29,4661.77,4607.45,40290000.0,0.040999999999999995
2011-08-09,4478.0,4588.94,4588.94,4417.83,47250000.0,-0.0475
2011-08-08,4701.08,4800.19,4814.89,4701.08,42860000.0,-0.0204
2011-08-07,4798.89,4859.07,4859.07,4779.72,49680000.0,-0.0417
2011-08-04,5007.5,4915.38,5009.34,4915.38,40570000.0,0.0171
2011-08-03,4923.29,4955.99,4955.99,4904.97,32100000.0,-0.0088
2011-08-02,4967.04,5073.35,5083.33,4967.04,39920000.0,-0.0209
2011-08-01,5073.07,5031.25,5080.73,5031.25,34960000.0,0.0074
2011-07-31,5035.63,5020.63,5048.46,5020.08,52040000.0,0.0027
2011-07-28,5022.25,5071.9,5071.9,5022.2,41820000.0,-0.0053
2011-07-27,5049.05,5080.3,5080.61,5038.99,33680000.0,-0.0073
2011-07-26,5085.99,5113.61,5115.44,5085.99,34340000.0,-0.0036
2011-07-25,5104.41,5116.63,5116.63,5080.57,34240000.0,-0.0063
2011-07-21,5136.78,5135.82,5147.61,5131.87,41870000.0,-0.0011
2011-07-20,5142.45,5148.33,5174.26,5142.45,47600000.0,-0.0004
2011-07-19,5144.27,5180.06,5180.33,5135.84,45010000.0,-0.0059
2011-07-18,5174.82,5260.6,5260.6,5174.82,48150000.0,-0.0168
2011-07-17,5263.3,5113.6,5263.83,5113.6,56960000.0,0.0326
2011-07-14,5097.32,5075.5,5098.59,5071.05,52190000.0,0.001
2011-07-13,5092.18,5020.53,5119.8,5020.53,85460000.0,0.0242
2011-07-12,4971.77,5075.69,5075.69,4939.48,76440000.0,-0.0282
2011-07-11,5116.21,5259.39,5259.39,5116.21,46400000.0,-0.029300000000000003
2011-07-10,5270.66,5362.0,5376.24,5270.66,52290000.0,-0.0167
2011-07-07,5360.34,5300.84,5361.08,5291.72,59800000.0,0.0075
2011-07-06,5320.51,5424.06,5427.07,5320.44,59520000.0,-0.0217
2011-07-05,5438.78,5435.15,5457.22,5430.99,75280000.0,0.002
2011-07-04,5428.1,5421.14,5428.53,5413.48,49920000.0,0.0017000000000000001
2011-07-03,5418.69,5392.54,5436.37,5392.54,58460000.0,0.0085
2011-06-30,5373.0,5283.13,5373.01,5269.96,69850000.0,0.0169
2011-06-29,5283.9,5364.9,5366.37,5283.39,75430000.0,-0.0203
2011-06-28,5393.44,5377.09,5408.77,5368.37,42740000.0,0.0033
2011-06-27,5375.73,5416.12,5431.76,5366.65,65849999.99999999,-0.0115
2011-06-26,5438.38,5489.81,5508.78,5438.28,64050000.0,-0.0075
2011-06-23,5479.6,5476.59,5485.89,5461.49,197260000.0,0.001
2011-06-22,5473.91,5525.43,5529.03,5473.82,49980000.0,-0.01
2011-06-21,5529.24,5638.36,5650.96,5529.24,69470000.0,-0.009300000000000001
2011-06-20,5580.96,5636.94,5666.55,5580.85,85410000.0,-0.0084
2011-06-19,5628.09,5556.03,5628.09,5555.71,87610000.0,0.015600000000000001
2011-06-16,5541.64,5561.73,5561.73,5507.67,100660000.0,-0.0034000000000000002
2011-06-15,5560.54,5613.13,5616.95,5560.54,68390000.0,-0.009399999999999999
2011-06-14,5613.45,5567.73,5613.45,5566.65,98490000.0,0.011399999999999999
2011-06-13,5550.22,5514.33,5551.6,5514.33,92030000.0,0.0070999999999999995
2011-06-12,5511.15,5515.89,5525.36,5496.5,79380000.0,0.0012
2011-06-09,5504.6,5452.88,5512.02,5452.88,77210000.0,0.0125
2011-06-08,5436.5,5425.47,5439.72,5417.88,57140000.0,0.0028000000000000004
2011-06-07,5421.23,5400.92,5434.51,5397.25,65390000.0,0.0034999999999999996
2011-06-06,5402.15,5442.86,5442.86,5402.08,55420000.0,-0.0079
2011-06-05,5445.01,5407.32,5458.54,5407.32,73370000.0,0.0155
2011-06-02,5361.88,5444.72,5444.72,5323.9,91530000.0,-0.0265
2011-06-01,5507.67,5524.48,5532.01,5507.19,64810000.0,-0.0028000000000000004
2011-05-31,5523.36,5567.71,5568.86,5510.37,93320000.0,-0.011899999999999999
2011-05-30,5590.03,5570.08,5599.04,5562.59,73560000.0,0.0076
2011-05-29,5548.06,5432.83,5548.06,5431.7,96780000.0,0.0252
2011-05-26,5411.83,5362.08,5424.87,5361.95,63660000.0,0.011200000000000002
2011-05-25,5351.81,5275.43,5351.91,5262.08,50570000.0,0.011699999999999999
2011-05-24,5290.11,5284.88,5292.74,5260.84,55390000.0,-0.008199999999999999
2011-05-23,5333.73,5399.93,5419.29,5326.2,64340000.0,-0.013300000000000001
2011-05-22,5405.52,5321.71,5405.52,5321.16,81610000.0,0.0298
2011-05-19,5249.11,5214.64,5252.3,5213.76,70480000.0,0.0118
2011-05-18,5187.89,5197.79,5198.98,5145.97,86480000.0,-0.003
2011-05-17,5203.28,5133.82,5207.87,5129.76,64450000.0,0.0149
2011-05-16,5126.69,5071.75,5126.88,5064.51,65530000.0,0.0128
2011-05-15,5062.08,5015.71,5062.3,5008.96,48480000.0,0.011399999999999999
2011-05-12,5005.09,4998.83,5005.27,4973.53,44800000.0,0.0005
2011-05-11,5002.82,4957.57,5002.91,4955.77,47580000.0,0.0091
2011-05-10,4957.68,4939.29,4957.7,4925.81,41670000.0,0.0048
2011-05-09,4934.23,4879.97,4934.45,4878.42,35070000.0,0.011399999999999999
2011-05-08,4878.41,4916.85,4916.85,4850.41,26170000.0,-0.011899999999999999
2011-05-05,4937.06,4977.78,4977.93,4935.32,39990000.0,-0.0091
2011-05-04,4982.47,5063.93,5070.01,4982.47,45470000.0,-0.0113
2011-05-03,5039.41,5060.93,5060.93,5039.41,34980000.0,-0.0027
2011-05-02,5052.81,5029.09,5056.46,5028.62,33330000.0,0.0098
2011-04-28,5003.65,4985.03,5003.67,4982.15,50260000.0,0.0060999999999999995
2011-04-27,4973.18,4995.61,4995.61,4945.41,30990000.0,-0.0032
2011-04-26,4989.08,5008.94,5020.37,4976.68,37440000.0,-0.0014000000000000002
2011-04-21,4996.07,4992.35,5011.76,4990.75,26890000.0,0.0019
2011-04-20,4986.46,5081.82,5083.58,4985.49,38890000.0,-0.018600000000000002
2011-04-19,5080.95,5015.32,5086.96,5015.32,39670000.0,0.0252
2011-04-18,4956.0,5088.51,5088.55,4953.01,53290000.0,-0.0317
2011-04-17,5118.31,5274.77,5278.43,5117.83,54120000.0,-0.034300000000000004
2011-04-14,5300.06,5335.89,5342.84,5300.06,62810000.0,-0.0003
2011-04-13,5301.47,5220.35,5301.47,5219.45,47170000.0,0.019
2011-04-12,5202.47,5302.05,5302.05,5199.9,42840000.0,-0.014199999999999999
2011-04-11,5277.44,5351.36,5354.62,5276.52,49750000.0,-0.0134
2011-04-10,5349.02,5408.28,5408.28,5346.61,48660000.0,-0.014199999999999999
2011-04-07,5425.98,5474.84,5474.84,5413.14,48410000.0,-0.009399999999999999
2011-04-06,5477.63,5472.02,5513.57,5472.02,46150000.0,0.0013
2011-04-05,5470.28,5443.55,5470.28,5429.24,45210000.0,-0.0043
2011-04-04,5493.83,5610.77,5619.29,5493.35,59190000.0,-0.011699999999999999
2011-04-03,5558.64,5512.34,5558.64,5499.92,59790000.0,0.0174
2011-03-31,5463.72,5386.84,5471.39,5354.04,68860000.0,-0.0031
2011-03-30,5480.94,5332.67,5525.48,5303.59,79580000.0,0.0132
2011-03-29,5409.43,5357.65,5409.43,5315.44,101690000.0,0.0301
2011-03-28,5251.3,5585.35,5605.4,5247.02,84890000.0,0.0075
2011-03-27,5212.08,5081.83,5212.08,5081.82,154030000.0,0.0528
2011-03-24,4950.82,4794.88,4950.82,4794.88,89450000.0,-0.0373
2011-03-23,5142.71,5085.63,5158.01,5085.63,61110000.0,-0.0892
2011-01-27,5646.5,6093.6,6093.6,5628.33,118260000.0,-0.1052
2011-01-26,6310.44,6528.49,6528.49,6310.44,117800000.0,-0.061399999999999996
2011-01-24,6723.17,6697.09,6733.29,6691.46,37900000.0,0.0039000000000000003
2011-01-23,6696.88,6706.19,6709.04,6662.73,42250000.0,-0.0002
2011-01-20,6698.39,6649.4,6720.45,6649.39,45960000.0,0.008
2011-01-19,6645.19,6670.5,6678.01,6613.73,70080000.0,-0.0072
2011-01-18,6693.58,6914.44,6914.46,6693.58,101470000.0,-0.031400000000000004
2011-01-17,6910.53,7102.23,7121.33,6910.53,123000000.0,-0.0242
2011-01-16,7082.09,7160.02,7161.64,7071.9,47420000.0,-0.0104
2011-01-13,7156.28,7146.95,7170.05,7143.65,42980000.0,0.0038
2011-01-12,7128.96,7159.43,7181.6,7128.96,56000000.0,-0.0036
2011-01-11,7154.7,7202.39,7207.22,7151.92,52000000.0,-0.006500000000000001
2011-01-10,7201.53,7207.79,7217.12,7199.58,70560000.0,-0.0001
2011-01-06,7202.58,7203.65,7219.67,7201.84,49070000.0,-0.0011
2011-01-05,7210.41,7219.76,7247.95,7210.41,54310000.0,0.0014000000000000002
2011-01-04,7200.3,7089.75,7200.71,7089.73,64660000.0,0.018000000000000002
2011-01-03,7073.12,7086.81,7115.51,7064.18,77100000.0,-0.0013
2011-01-02,7082.4,7133.25,7134.57,7082.02,45290000.0,-0.0084
2010-12-30,7142.14,7068.7,7148.77,7068.7,68510000.0,0.009300000000000001
2010-12-29,7076.57,7032.38,7076.57,7025.31,42260000.0,0.006999999999999999
2010-12-28,7027.49,6972.66,7033.64,6972.57,41630000.0,0.0085
2010-12-27,6968.12,6928.91,6968.12,6922.61,33710000.0,0.005699999999999999
2010-12-26,6928.57,6951.92,6987.58,6928.05,22780000.0,-0.0033
2010-12-23,6951.31,6909.77,6967.43,6909.77,49710000.0,0.0059
2010-12-22,6910.28,6955.54,6957.52,6904.47,47100000.0,-0.0051
2010-12-21,6945.8,6917.34,6952.55,6917.34,38820000.0,0.0048
2010-12-20,6912.34,6887.47,6926.02,6887.47,51770000.0,0.0036
2010-12-19,6887.37,6901.01,6904.23,6877.05,33570000.0,-0.0025
2010-12-16,6904.4,6940.62,6968.51,6904.4,42040000.0,-0.005600000000000001
2010-12-15,6943.38,7005.36,7009.23,6943.38,66340000.0,-0.0076
2010-12-14,6996.34,6945.11,7006.99,6945.11,57310000.0,0.0084
2010-12-13,6938.3,6919.76,6945.15,6919.01,73310000.0,0.0032
2010-12-12,6916.0,6893.39,6944.59,6892.46,53620000.0,0.0062
