Date,Price,Open,High,Low,Vol.,Change %
9/6/2005,"4,990.01","5,022.64","5,023.23","4,979.48",,-0.66%
9/5/2005,"5,023.25","4,994.95","5,033.53","4,994.14",,0.55%
9/4/2005,"4,995.56","4,906.82","4,995.56","4,906.82",,1.80%
9/1/2005,"4,907.30","4,815.03","4,907.35","4,815.03",,1.91%
8/31/2005,"4,815.46","4,848.31","4,848.31","4,805.87",,-0.69%
8/30/2005,"4,849.04","4,904.15","4,934.48","4,848.31",,-1.14%
8/29/2005,"4,904.88","4,861.35","4,920.57","4,861.35",,0.89%
8/28/2005,"4,861.69","4,743.94","4,861.69","4,743.94",,2.29%
8/25/2005,"4,753.03","4,716.03","4,753.03","4,715.20",,0.78%
8/24/2005,"4,716.03","4,612.16","4,716.03","4,611.67",,2.25%
8/23/2005,"4,612.16","4,559.63","4,615.09","4,544.14",,1.15%
8/22/2005,"4,559.63","4,628.75","4,638.20","4,559.63",,-1.49%
8/21/2005,"4,628.75","4,651.99","4,665.16","4,628.75",,-0.50%
8/18/2005,"4,651.99","4,711.28","4,711.28","4,640.43",,-1.26%
8/17/2005,"4,711.28","4,767.52","4,769.50","4,711.28",,-1.18%
8/16/2005,"4,767.52","4,735.79","4,779.88","4,735.79",,0.68%
8/15/2005,"4,735.36","4,718.61","4,735.79","4,678.72",,0.35%
8/14/2005,"4,718.61","4,711.28","4,718.61","4,690.53",,0.16%
8/11/2005,"4,711.28","4,778.79","4,783.35","4,707.48",,-1.45%
8/10/2005,"4,780.78","4,821.54","4,826.53","4,776.56",,-0.86%
8/9/2005,"4,822.18","4,817.55","4,840.12","4,816.98",,0.09%
8/8/2005,"4,817.64","4,810.75","4,817.64","4,788.79",,0.15%
8/7/2005,"4,810.44","4,761.03","4,842.81","4,760.49",,1.04%
8/4/2005,"4,761.03","4,833.54","4,836.33","4,730.32",,-1.50%
8/3/2005,"4,833.54","4,885.25","4,889.90","4,832.80",,-1.07%
8/2/2005,"4,885.61","4,868.43","4,895.72","4,868.43",,0.35%
8/1/2005,"4,868.43","4,840.52","4,868.80","4,834.92",,0.58%
7/31/2005,"4,840.52","4,865.11","4,880.14","4,840.52",,-0.51%
7/28/2005,"4,865.11","4,811.72","4,897.35","4,811.72",,1.11%
7/27/2005,"4,811.72","4,775.52","4,811.85","4,759.06",,0.76%
7/26/2005,"4,775.52","4,829.81","4,831.00","4,767.93",,-1.12%
7/25/2005,"4,829.81","4,813.99","4,894.14","4,813.99",,0.33%
7/24/2005,"4,813.99","4,966.65","4,966.65","4,726.33",,-3.07%
7/21/2005,"4,966.65","4,986.31","4,986.31","4,958.69",,-0.39%
7/20/2005,"4,986.31","4,958.10","4,999.85","4,958.10",,0.57%
7/19/2005,"4,958.10","4,898.34","4,958.47","4,895.16",,1.22%
7/18/2005,"4,898.34","4,950.21","4,954.90","4,888.02",,-1.05%
7/17/2005,"4,950.21","4,935.64","4,980.18","4,935.64",,0.29%
7/14/2005,"4,935.80","4,930.44","4,935.80","4,917.33",,0.11%
7/13/2005,"4,930.60","4,930.74","4,939.79","4,924.84",,-0.01%
7/12/2005,"4,930.90","4,931.99","4,978.25","4,930.68",,-0.03%
7/11/2005,"4,932.15","4,966.18","4,969.34","4,854.44",,-0.69%
7/10/2005,"4,966.34","4,894.56","5,005.26","4,893.09",,1.46%
7/7/2005,"4,894.71","5,003.21","5,025.03","4,884.24",,-2.17%
7/6/2005,"5,003.36","5,005.41","5,036.88","5,003.13",,-0.04%
7/5/2005,"5,005.57","4,897.29","5,016.34","4,897.29",,2.21%
7/4/2005,"4,897.29","4,907.77","4,920.08","4,871.28",,-0.18%
7/3/2005,"4,906.18","4,828.67","4,947.77","4,828.53",,1.61%
6/30/2005,"4,828.66","4,834.25","4,837.71","4,815.94",,-0.12%
6/29/2005,"4,834.25","4,896.65","4,917.15","4,832.17",,-1.27%
6/28/2005,"4,896.65","4,943.04","4,952.97","4,896.59",,-0.94%
6/27/2005,"4,943.03","4,983.66","4,986.98","4,942.92",,-0.82%
6/26/2005,"4,983.65","4,968.29","4,990.57","4,935.12",,0.31%
6/23/2005,"4,968.29","4,865.93","4,968.29","4,865.93",,2.10%
6/22/2005,"4,865.93","4,921.50","4,921.50","4,854.04",,-1.13%
6/21/2005,"4,921.50","4,927.59","4,998.23","4,921.50",,-0.12%
6/20/2005,"4,927.59","4,782.16","4,927.59","4,782.16",,3.04%
6/19/2005,"4,782.16","4,617.95","4,786.85","4,617.95",,3.56%
6/18/2005,"4,617.95","4,617.95","4,617.95","4,617.95",,0.00%
6/16/2005,"4,617.95","4,513.73","4,625.02","4,511.68",,2.31%
6/15/2005,"4,513.73","4,461.32","4,514.13","4,461.32",,1.17%
6/14/2005,"4,461.32","4,401.18","4,471.01","4,401.18",,1.37%
6/13/2005,"4,401.18","4,417.34","4,417.34","4,384.63",,-0.37%
6/12/2005,"4,417.34","4,357.57","4,423.03","4,357.57",,1.37%
6/9/2005,"4,357.57","4,282.89","4,359.36","4,282.16",,1.72%
6/8/2005,"4,283.91","4,309.96","4,314.55","4,263.55",,-0.63%
6/7/2005,"4,310.99","4,303.90","4,334.34","4,303.78",,0.14%
6/6/2005,"4,304.93","4,252.40","4,313.63","4,252.40",,1.22%
6/5/2005,"4,252.84","4,163.06","4,252.84","4,162.61",,2.16%
6/2/2005,"4,163.06","4,237.63","4,270.87","4,158.55",,-1.77%
6/1/2005,"4,238.07","4,288.89","4,293.11","4,232.96",,-1.20%
5/31/2005,"4,289.34","4,331.59","4,332.84","4,288.89",,-0.99%
5/30/2005,"4,332.04","4,178.68","4,332.71","4,178.68",,3.66%
5/29/2005,"4,179.11","4,210.10","4,238.24","4,166.77",,-0.74%
5/26/2005,"4,210.08","4,193.71","4,210.63","4,190.10",,0.39%
5/25/2005,"4,193.69","4,211.44","4,216.21","4,177.60",,-0.42%
5/24/2005,"4,211.43","4,142.46","4,212.47","4,142.46",,1.67%
5/23/2005,"4,142.45","4,102.30","4,188.56","4,102.30",,0.98%
5/22/2005,"4,102.29","4,125.63","4,163.50","4,073.06",,-0.57%
5/19/2005,"4,125.62","4,262.63","4,262.63","4,125.63",,-3.21%
5/18/2005,"4,262.62","4,280.33","4,297.86","4,262.63",,-0.41%
5/17/2005,"4,280.33","4,248.19","4,285.36","4,222.99",,0.76%
5/16/2005,"4,248.18","4,392.40","4,392.40","4,248.19",,-3.28%
5/15/2005,"4,392.40","4,427.28","4,435.06","4,392.40",,-0.79%
5/12/2005,"4,427.28","4,468.54","4,481.92","4,421.97",,-0.91%
5/11/2005,"4,468.10","4,493.65","4,504.20","4,466.48",,-0.56%
5/10/2005,"4,493.21","4,417.49","4,493.90","4,417.49",,1.72%
5/9/2005,"4,417.06","4,483.68","4,483.68","4,406.74",,-1.48%
5/8/2005,"4,483.24","4,412.39","4,533.11","4,235.14",,1.62%
5/5/2005,"4,411.95","4,292.23","4,412.39","4,290.76",,2.80%
5/4/2005,"4,291.80","4,179.97","4,292.60","4,179.97",,2.69%
5/3/2005,"4,179.56","4,187.29","4,187.29","4,129.71",,-0.17%
4/28/2005,"4,186.87","4,204.94","4,214.30","4,159.82",,-0.43%
4/27/2005,"4,204.99","4,182.92","4,211.62","4,182.92",,0.53%
4/26/2005,"4,182.97","3,929.99","4,184.26","3,929.99",,6.44%
4/20/2005,"3,930.04","3,960.50","3,960.50","3,883.43",,-0.77%
4/19/2005,"3,960.54","4,038.25","4,048.88","3,960.49",,-1.93%
4/18/2005,"4,038.29","4,110.01","4,112.66","4,037.18",,-1.75%
4/17/2005,"4,110.05","4,045.02","4,114.13","4,045.02",,1.61%
4/14/2005,"4,045.06","3,985.00","4,055.91","3,985.00",,1.51%
4/13/2005,"3,985.04","4,052.98","4,052.98","3,975.01",,-1.68%
4/12/2005,"4,053.02","4,039.23","4,127.33","4,034.01",,0.34%
4/11/2005,"4,039.27","3,934.78","4,053.12","3,934.78",,2.65%
4/10/2005,"3,934.82","4,074.15","4,074.15","3,711.71",,-3.42%
4/7/2005,"4,074.19","4,031.01","4,081.91","4,030.92",,1.07%
4/6/2005,"4,031.04","3,976.77","4,031.27","3,976.77",,1.36%
4/5/2005,"3,976.80","3,959.89","3,999.90","3,959.89",,0.43%
4/4/2005,"3,959.92","3,957.73","3,978.22","3,951.53",,0.05%
4/3/2005,"3,957.76","3,917.81","4,006.66","3,917.81",,1.02%
3/31/2005,"3,917.84","3,762.41","3,917.88","3,740.64",,4.13%
3/30/2005,"3,762.43","3,919.15","3,919.15","3,762.29",,-4.00%
3/29/2005,"3,919.17","3,943.91","3,945.62","3,919.15",,-0.63%
3/28/2005,"3,943.93","4,090.02","4,090.02","3,943.91",,-3.57%
3/27/2005,"4,090.04","4,048.63","4,141.88","4,048.63",,1.02%
3/24/2005,"4,048.65","4,118.64","4,118.64","4,031.60",,-1.70%
3/23/2005,"4,118.66","3,942.40","4,156.84","3,942.40",,4.47%
3/22/2005,"3,942.42","4,077.54","4,077.54","3,880.43",,-3.31%
3/21/2005,"4,077.56","4,212.13","4,271.74","4,077.54",,-3.20%
3/20/2005,"4,212.15","4,114.96","4,235.76","4,114.96",,2.36%
3/17/2005,"4,114.98","4,390.19","4,390.19","4,095.49",,-6.27%
3/16/2005,"4,390.21","4,479.86","4,505.00","4,390.19",,-2.00%
3/15/2005,"4,479.88","4,455.83","4,500.36","4,455.83",,0.54%
3/14/2005,"4,455.85","4,495.38","4,532.29","4,444.75",,-0.88%
3/13/2005,"4,495.40","4,416.35","4,503.06","4,416.35",,1.79%
3/10/2005,"4,416.37","4,384.65","4,416.37","4,353.57",,0.72%
